"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALCANTIL;25051598;EEEFM PROFESSORA MARIA CECILIA DE CASTRO;3,60;3,86;3,73;0,79;2,93
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;RIACHO DE SANTO ANTONIO;25051660;EEEFM ANA FERREIRA DA COSTA;4,87;4,76;4,82;0,80;3,85
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;BARRA DE SANTANA;25052497;EEEFM ALM ANTONIO HERACLITO DO REGO;4,23;3,90;4,06;0,89;3,61
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CATURITE;25052802;EEEFM FELIX ARAUJO;4,10;3,96;4,03;0,79;3,18
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CABACEIRAS;25053124;EEEFM ALCIDES BEZERRA;5,05;5,08;5,07;0,86;4,34
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;SAO DOMINGOS DO CARIRI;25053493;EEEFM FRANCISCO DEODATO DO NASCIMENTO;5,06;5,48;5,27;0,94;4,94
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ARARA;25054783;EEEFM MONS JOSE PAULINO;4,78;4,29;4,54;0,60;2,71
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;POCINHOS;25057146;EEEFM ANTONIO GALDINO FILHO;4,95;4,30;4,63;0,77;3,54
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;REMIGIO;25057820;EEEFM JOSE B SOBRINHO;4,88;4,66;4,77;0,68;3,23
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;REMIGIO;25057839;EEEF DR CUNHA LIMA;4,44;4,04;4,24;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;SOLEDADE;25058304;EEEFM DR TRAJANO NOBREGA;4,13;3,86;3,99;0,75;3,01
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIAL;25061402;EEEFM FRANCISCO A SILVA;4,53;4,26;4,40;0,72;3,15
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ESPERANCA;25061720;EEEFM MONS JOSE DA SILVA COUTINHO;5,24;4,85;5,04;0,68;3,41
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ESPERANCA;25061739;EEEFM IRINEU JOFFILY;4,00;3,95;3,98;0,69;2,73
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;MONTADAS;25062069;EEEFM MARIA JOSE DE SOUZA;4,37;4,25;4,31;0,87;3,75
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;SAO SEBASTIAO DE LAGOA DE ROCA;25062220;EEEFM MONS JOSE BORGES;4,20;4,19;4,19;0,79;3,31
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25062638;EEEFM PADRE HILDON BANDEIRA;4,05;3,89;3,97;0,66;2,60
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25062816;ENE OSWALDO T DE ALBUQUERQUE MELO;4,60;3,87;4,24;0,50;2,11
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA NOVA;25063340;EEEFM MONSENHOR JOSE BORGES DE CARVALHO;4,41;4,23;4,32;0,70;3,01
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;MATINHAS;25063359;EEEFM DESEMBARGADOR ARTUR VIRGINIO DE MOURA;4,22;4,27;4,25;0,81;3,43
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064126;EEEIEFM CARLOTA BARREIRA;4,23;3,94;4,09;0,86;3,50
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064134;EEEFM MIN J A ALMEIDA;4,15;3,93;4,04;0,78;3,15
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064142;EEEF ALVARO MACHADO;3,73;3,27;3,50;0,72;2,52
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25070703;CAIC JOSE JOFILLY;4,29;4,07;4,18;0,86;3,60
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25071939;ESC EST AUDIO COMUNICACAO DE C GRANDE;1,97;2,55;2,26;0,68;1,53
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072005;EEEFM ADEMAR VELOSO SILVEIRA;5,17;4,85;5,01;0,64;3,19
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072013;EEEFM PROF RAUL CORDULA;5,27;4,65;4,96;0,71;3,53
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072021;EEEFM SEN ARGEMIRO DE FIGUEIREDO;5,06;4,46;4,76;0,68;3,26
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072030;EEEFM NENZINHA CUNHA LIMA;4,90;4,21;4,56;0,62;2,81
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072056;EEEFM POETA CARLOS DRUMOND DE ANDRADE;4,75;4,24;4,50;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072064;EEEF MARIA AUGUSTA LUCENA BRITO;3,79;3,67;3,73;0,90;3,35
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072080;EEEF NINA ALVES DE LIMA;5,59;4,88;5,24;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072099;EEEFM ASSIS CHATEAUBRIAND;3,57;3,58;3,58;0,80;2,88
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072102;EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ;4,57;4,02;4,30;0,66;2,82
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072110;EEEFM FELIX ARAUJO;5,14;4,88;5,01;0,83;4,15
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072129;EEEFM SAO SEBASTIAO;4,54;3,87;4,21;0,84;3,53
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072137;EEEFM PROF ANESIO LEAO;5,13;4,48;4,81;0,70;3,37
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072145;EEEFM DOM LUIZ GONZAGA FERNANDES;4,89;4,42;4,66;0,51;2,36
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072153;EEEFM SEVERINO CABRAL;5,73;5,40;5,56;0,76;4,22
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072218;EEEFM CLEMENTINO PROCOPIO;4,83;4,42;4,63;0,67;3,08
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072242;EEEF JOSE PINHEIRO;3,87;3,07;3,47;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072277;EEEF MONTE CARMELO CEPES CGI;4,69;3,97;4,33;0,64;2,75
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072285;EEEF MURILO BRAGA;3,89;3,78;3,84;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072307;EEEF SOLON DE LUCENA;5,30;4,66;4,98;0,84;4,19
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072404;EEEFM RUBENS DUTRA II;3,53;3,39;3,46;0,83;2,87
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072412;EEEFM ESCRITOR VIRGINIUS DA GAMA E MELO;5,28;4,74;5,01;0,75;3,76
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072420;EEEM DR ELPIDIO DE ALMEIDA;5,31;4,92;5,12;0,73;3,76
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072439;EEEFM DR HORTENSIO DE SOUSA RIBEIRO;5,25;4,75;5,00;0,93;4,66
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072692;ENE PE EMIDIO VIANA CORREIA;4,80;4,26;4,53;0,83;3,75
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOA VISTA;25075918;EEEFM TEODOSIO DE OLIVEIRA LEDO;4,07;4,19;4,13;0,95;3,94
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25076400;EEEFM PROF ANTONIO OLIVEIRA;4,64;4,23;4,43;0,78;3,47
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25076582;EEEFM IRMA JOAQUINA SAMPAIO;4,66;3,78;4,22;0,46;1,92
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25076590;EEEFM JOSE MIGUEL LEAO;3,82;3,59;3,70;0,73;2,69
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;FAGUNDES;25077147;EEEFM JOANA EMILIA DA SILVA;4,30;4,03;4,16;0,87;3,64
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;LAGOA SECA;25077759;EEEFM FRANCISCA MARTINIANO DA ROCHA;3,92;3,75;3,84;0,78;3,01
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;MASSARANDUBA;25078135;EEEFM MARIA ZECA SOUZA;3,65;3,68;3,67;0,90;3,30
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;MASSARANDUBA;25078143;EEEFM EVERALDO AGRA;3,16;3,44;3,30;0,89;2,93
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078550;EEEFM PLINIO LEMOS;5,32;4,69;5,00;0,87;4,35
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078569;EEEF SEVERIANO PEDRO DO NASCIMENTO;4,37;4,07;4,22;0,83;3,49
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078577;EEEF CONEGO ANTONIO GALDINO;3,70;3,52;3,61;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;QUEIMADAS;25078992;EEEFM FRANCISCO E DO REGO;4,18;4,00;4,09;0,71;2,90
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;SERRA REDONDA;25080016;EEEFM DOM ADAUTO;3,94;3,85;3,90;0,77;3,02
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ITATUBA;25081888;EEEFM JOSE R DE ATAIDE;4,39;3,84;4,11;0,79;3,25
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;AROEIRAS;25083490;EEEFM DEP CARLOS PESSOA FILHO;3,97;3,65;3,81;0,86;3,28
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;GADO BRAVO;25084445;EEEFM JOAO DA SILVA MONTEIRO;3,86;3,85;3,85;0,88;3,40
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;NATUBA;25084526;EEEFM DR FRANCISCO DE ALBUQUERQUE MONTENEGRO;3,95;3,98;3,96;0,88;3,47
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;UMBUZEIRO;25084950;EEEFM PRESIDENTE JOAO PESSOA;4,24;3,85;4,05;0,90;3,63
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;SANTA CECILIA;25084992;EEEFM ANTONIO FRANCISCO GOMES;3,93;3,83;3,88;0,66;2,55
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25114433;EEEF SENADOR HUMBERTO LUCENA;4,28;3,91;4,09;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25114808;EEEFM PROF ITAN PEREIRA;5,03;4,58;4,81;0,86;4,14
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25117459;EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA;4,37;4,07;4,22;0,75;3,17
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOQUEIRAO;25117700;EEEF SEVERINO BARBOSA CAMELO;3,07;2,31;2,69;0,65;1,74
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25117866;EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO;4,81;4,61;4,71;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;JUAZEIRINHO;25118358;EEEF DEPUTADO PEDRO PASCOAL DE OLIVEIRA;3,93;3,94;3,94;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25120670;EEEFM MAJOR VENEZIANO VITAL DO REGO;3,76;3,58;3,67;0,69;2,54
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;TENORIO;25123297;EEEFEM MARIA ELIDIA RANGEL;4,78;4,47;4,63;0,90;4,15
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25123998;ESCOLA WALNYZA BORBOREMA CUNHA;4,59;4,33;4,46;0,90;4,00
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;QUEIMADAS;25126415;EEEFM TEREZA ALVES DE MOURA;4,52;4,60;4,56;0,66;3,01
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25151401;EEEFM ANTONIO GUEDES DE ANDRADE;5,20;4,08;4,64;0,75;3,47
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25152815;EEEFM ISABEL RODRIGUES DE MELO;3,84;3,31;3,57;0,81;2,88
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALGODAO DE JANDAIRA;25152823;EEEFM EUCLIDES MOUZINHO SANTOS;4,33;3,70;4,02;0,85;3,40
5º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;SAO VICENTE DO SERIDO;25043870;EEEF INACIO CLAUDINO;4,61;4,76;4,68;0,94;4,41
5º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;BARRA DE SANTA ROSA;25055062;EEEF PROF JOSE COELHO;5,71;5,74;5,72;0,90;5,16
5º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;CUITE;25055852;EEEF ANDRE VIDAL DE NEGREIROS;5,36;5,30;5,33;0,99;5,26
5º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;NOVA FLORESTA;25056611;EEEF DEP JOSE PEREIRA;4,99;5,04;5,01;0,94;4,69
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;NOVA PALMEIRA;25042351;EEEFM ANTONIO COELHO DANTAS;6,81;7,22;7,01;0,94;6,58
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;SAO VICENTE DO SERIDO;25043870;EEEF INACIO CLAUDINO;4,25;4,58;4,42;0,89;3,92
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;BARRA DE SANTA ROSA;25055046;EEEFM JOSE LUIZ NETO;4,06;4,77;4,41;0,78;3,44
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;CUITE;25055852;EEEF ANDRE VIDAL DE NEGREIROS;5,14;5,04;5,09;0,86;4,38
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;SOSSEGO;25056581;EEEFM JOSE VITORINO DE MEDEIROS;4,76;5,06;4,91;0,76;3,71
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;NOVA FLORESTA;25056620;EEEFM JOSE ROLDERICK DE OLIVEIRA;4,69;4,66;4,67;0,87;4,08
9º ano do Ensino Fundamental;ESTADUAL;4ª GRE-CUITE;CUITE;25127659;EEEFM PEDRO HENRIQUE DA SILVA;4,57;4,68;4,62;0,68;3,14
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;CUBATI;25040820;EEEFM IOLANDA TEREZA CHAVES LIMA;4,92;4,86;4,89;0,82;4,02
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;FREI MARTINHO;25041185;EEEM PREFEITO AGUITONIO DANTAS;4,30;4,33;4,31;0,97;4,17
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;NOVA PALMEIRA;25042351;EEEFM ANTONIO COELHO DANTAS;5,75;5,77;5,76;0,93;5,38
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;PEDRA LAVRADA;25042661;EEEM GRACILIANO FONTINI LORDAO;5,16;4,86;5,01;0,96;4,81
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;PICUI;25043269;EEEM SEVERINO GREGORIO DANTAS;5,24;4,61;4,92;0,73;3,60
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;PICUI;25043277;EEEFM PROFESSOR LORDAO;5,17;4,83;5,00;0,89;4,44
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;SAO VICENTE DO SERIDO;25043897;EEEFM CICERO DOS ANJOS;4,10;4,25;4,18;0,83;3,45
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;BARRA DE SANTA ROSA;25055046;EEEFM JOSE LUIZ NETO;4,16;4,15;4,16;0,80;3,33
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;CUITE;25055836;EEEFM ORLANDO VENANCIO DOS SANTOS;4,82;4,77;4,79;0,71;3,39
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;SOSSEGO;25056581;EEEFM JOSE VITORINO DE MEDEIROS;4,15;4,29;4,22;0,93;3,94
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;NOVA FLORESTA;25056620;EEEFM JOSE ROLDERICK DE OLIVEIRA;4,57;4,37;4,47;0,87;3,91
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;PICUI;25115723;EEEF FELIPE TIAGO GOMES;4,10;3,91;4,01;0,66;2,64
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;BARAUNA;25118579;EEEM PREFEITO SEVERINO PEREIRA GOMES;4,75;4,42;4,59;0,72;3,29
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;DAMIAO;25123203;EEEM FRANCISCO MARQUES DE MELO;4,42;4,55;4,49;0,83;3,73
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;CUITE;25127659;EEEFM PEDRO HENRIQUE DA SILVA;4,46;3,88;4,17;0,85;3,56
3ª série do Ensino Médio;ESTADUAL;4ª GRE-CUITE;PEDRA LAVRADA;25153200;EEEM MATILDES DE MELO BURUTI;4,77;3,94;4,35;0,62;2,71
5º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SAO JOSE DOS CORDEIROS;25047450;EEEFM BARTOLOMEU MARACAJA;5,80;6,73;6,27;0,89;5,55
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;CONGO;25044788;EEEFM MANOEL ALVES CAMPOS;5,14;5,69;5,41;0,92;4,96
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;MONTEIRO;25045555;EEEF MIGUEL SANTA CRUZ;4,34;4,86;4,60;0,93;4,30
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;PRATA;25046950;EEEIEF FRANCISCO DE ASSIS GONZAGA;5,35;5,38;5,36;0,91;4,86
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SAO JOSE DOS CORDEIROS;25047450;EEEFM BARTOLOMEU MARACAJA;4,57;4,51;4,54;0,70;3,17
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;PARARI;25047469;EEEFM JAIRO AIRES CALUETE;5,35;5,11;5,23;0,71;3,72
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SAO SEBASTIAO DO UMBUZEIRO;25048350;EEEFM MALAQUIAS BATISTA FEITOSA;4,76;5,03;4,89;0,94;4,61
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SERRA BRANCA;25048775;EEEFM MARIA BALBINA PEREIRA;5,02;5,25;5,14;0,89;4,59
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SERRA BRANCA;25048848;EEEF VASCONCELOS BRANDAO;4,88;5,14;5,01;0,87;4,37
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;COXIXOLA;25049372;EEEIFM MANOEL HONORATO SOBRINHO;4,57;4,88;4,73;0,84;3,98
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SAO JOAO DO CARIRI;25054155;EEEF SEVERINO MEDEIROS RAMOS;5,54;5,70;5,62;0,77;4,30
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;SAO JOAO DO CARIRI;25054180;EEEFM JORNALISTA JOSE LEAL RAMOS;5,40;5,08;5,24;0,87;4,56
9º ano do Ensino Fundamental;ESTADUAL;5ª GRE-MONTEIRO;CARAUBAS;25054490;EEEFM CEL SERVELIANO DE FARIAS CASTRO;4,78;4,98;4,88;0,83;4,03
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;CAMALAU;25044362;EEEFM PEDRO BEZERRA FILHO;4,81;4,51;4,66;0,87;4,06
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;CONGO;25044788;EEEFM MANOEL ALVES CAMPOS;4,73;4,48;4,60;0,85;3,91
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;MONTEIRO;25045377;EEEFM JOSE LEITE DE SOUSA;4,96;4,61;4,78;0,84;4,02
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;MONTEIRO;25045466;EEEM BENTO TENORIO DE SOUSA ESCOLA DO CAMPO;4,83;5,19;5,01;0,88;4,40
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;MONTEIRO;25045555;EEEF MIGUEL SANTA CRUZ;4,51;5,19;4,85;-;-
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;OURO VELHO;25046764;EEEFM NOSSA SRA DAS GRACAS;3,63;3,59;3,61;0,84;3,04
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;PRATA;25046950;EEEIEF FRANCISCO DE ASSIS GONZAGA;4,93;4,59;4,76;0,80;3,81
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SAO JOAO DO TIGRE;25047116;EEEFM MARIO OLIVEIRA CHAVES;4,13;4,11;4,12;0,91;3,73
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SAO JOSE DOS CORDEIROS;25047450;EEEFM BARTOLOMEU MARACAJA;4,80;4,31;4,56;0,53;2,41
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;PARARI;25047469;EEEFM JAIRO AIRES CALUETE;4,95;4,85;4,90;0,96;4,70
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SAO SEBASTIAO DO UMBUZEIRO;25048350;EEEFM MALAQUIAS BATISTA FEITOSA;4,27;4,62;4,45;0,88;3,90
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;ZABELE;25048368;EEEFM PROF MARIA CELESTE DO NASCIMENTO;4,63;3,68;4,16;0,75;3,13
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SERRA BRANCA;25048775;EEEFM MARIA BALBINA PEREIRA;4,08;3,85;3,97;0,96;3,81
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SERRA BRANCA;25048880;EEEFM SENADOR JOSE GAUDENCIO;4,69;4,54;4,61;0,82;3,79
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;COXIXOLA;25049372;EEEIFM MANOEL HONORATO SOBRINHO;4,23;3,82;4,03;0,91;3,67
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SUME;25049496;EEEFM PROF JOSE GONCALVES DE QUEIROZ;4,69;4,37;4,53;0,78;3,52
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;AMPARO;25049640;EEEF DE AMPARO;3,64;3,62;3,63;0,85;3,08
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;GURJAO;25053728;EEEFM JUAREZ MARACAJA;4,25;3,27;3,76;0,76;2,85
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SANTO ANDRE;25054023;EEEFM DEP ALVARO G QUEIROZ;4,75;4,67;4,71;0,76;3,58
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;SAO JOAO DO CARIRI;25054180;EEEFM JORNALISTA JOSE LEAL RAMOS;4,59;4,07;4,33;0,89;3,87
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;CARAUBAS;25054490;EEEFM CEL SERVELIANO DE FARIAS CASTRO;5,13;4,81;4,97;0,91;4,51
3ª série do Ensino Médio;ESTADUAL;5ª GRE-MONTEIRO;MONTEIRO;25115359;EEEF JOAO DE OLIVEIRA CHAVES;3,81;3,92;3,86;0,77;2,98
5º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25021427;ENE D EXPEDITO E DE OLIVEIRA;5,99;5,23;5,61;0,82;4,59
5º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SAO JOSE DE ESPINHARAS;25022652;EEEFM JOSE AMERICO DE ALMEIDA;5,31;5,24;5,28;0,91;4,79
5º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;CATINGUEIRA;25024175;EEEFM INACIO DA CATINGUEIRA;-;-;-;0,92;-
5º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;DESTERRO;25033816;EEEF SILVEIRA DANTAS;4,83;4,85;4,84;0,92;4,44
